caseId,geneSymbol,uniprotId
3ed101b5-0007-4957-a25d-4cf43bde08b6,BMP2,P12643
3ed101b5-0007-4957-a25d-4cf43bde08b6,FTSJ3,Q8IY81
3ed101b5-0007-4957-a25d-4cf43bde08b6,OBI1,Q5W0B1
3ed101b5-0007-4957-a25d-4cf43bde08b6,FHDC1,Q9C0D6
3ed101b5-0007-4957-a25d-4cf43bde08b6,PAQR6,Q6TCH4
3ed101b5-0007-4957-a25d-4cf43bde08b6,AKR1C2,P52895
3ed101b5-0007-4957-a25d-4cf43bde08b6,KIF11,P52732
3ed101b5-0007-4957-a25d-4cf43bde08b6,MPG,P29372
3ed101b5-0007-4957-a25d-4cf43bde08b6,MXRA5,Q9NR99
3ed101b5-0007-4957-a25d-4cf43bde08b6,PKIA,P61925
